title,movie_count,years
The Captive,3,"[1915.0, 1988.0, 2014.0]"
The Castle,3,"[1994.0, 1997.0]"
The Cat and the Canary,3,"[1927.0, 1939.0, 1979.0]"
The Ceremony,3,"[1963.0, 1971.0, 2014.0]"
The Chase,3,"[1946.0, 1966.0, 1994.0]"
Bliss,3,"[1985.0, 1997.0, 2007.0]"
Blood,3,"[1989.0, 2006.0, 2012.0]"
The Dancer,3,"[2000.0, 2011.0, 2016.0]"
The Dead,3,"[1987.0, 2004.0, 2010.0]"
The Deal,3,"[2003.0, 2005.0, 2015.0]"
Blood and Sand,3,"[1922.0, 1941.0, 1989.0]"
Body and Soul,3,"[1925.0, 1947.0, 1981.0]"
The Cook,3,"[1965.0, 1972.0, 2008.0]"
The Crew,3,"[1994.0, 2000.0, 2008.0]"
The Borrowers,3,"[1973.0, 1997.0, 2011.0]"
The Boss,3,"[1956.0, 1973.0, 2016.0]"
The Comedian,3,"[1957.0, 2013.0, 2016.0]"
The Connection,3,"[1962.0, 2014.0]"
Boiling Point,3,"[1990.0, 1993.0, 2017.0]"
Born Reckless,3,"[1930.0, 1937.0, 1958.0]"
Boulevard,3,"[1960.0, 1994.0, 2014.0]"
Black Sun,3,"[1964.0, 2005.0, 2007.0]"
Black Widow,3,"[1954.0, 1987.0, 2008.0]"
Black and White,3,"[1968.0, 1999.0, 2008.0]"
The Green Hornet,3,"[1940.0, 1974.0, 2011.0]"
The Ghost,3,"[1963.0, 2004.0, 2008.0]"
The Gift,3,"[2000.0, 2014.0, 2015.0]"
The Girl Next Door,3,"[1999.0, 2004.0, 2007.0]"
The Girl on the Train,3,"[2009.0, 2014.0, 2016.0]"
The Glass Menagerie,3,"[1950.0, 1973.0, 1987.0]"
Taxi,3,"[1998.0, 2004.0, 2015.0]"
Ten Little Indians,3,"[1965.0, 1974.0, 1987.0]"
Sweet Dreams,3,"[1981.0, 1985.0, 2016.0]"
The Call of the Wild,3,"[1935.0, 1972.0, 1976.0]"
Boys,3,"[1977.0, 1996.0, 2014.0]"
Brainstorm,3,"[1965.0, 1983.0, 2001.0]"
Breakout,3,"[1975.0, 2007.0, 2013.0]"
The Garden,3,"[1990.0, 1995.0, 2008.0]"
The Fly,3,"[1958.0, 1980.0, 1986.0]"
The Fog,3,"[1980.0, 2005.0, 2010.0]"
The Incident,3,"[1967.0, 1990.0, 2014.0]"
The Innocents,3,"[1961.0, 1987.0, 2016.0]"
The Hole,3,"[1998.0, 2001.0, 2009.0]"
The Hollow,3,"[2004.0, 2015.0, 2016.0]"
The House,3,"[2011.0, 2016.0, 2017.0]"
Broken,3,"[2006.0, 2012.0, 2014.0]"
Sugar,3,"[2004.0, 2009.0, 2013.0]"
Summer Holiday,3,"[1948.0, 1963.0, 2008.0]"
State Fair,3,"[1933.0, 1945.0, 1962.0]"
Steel,3,"[1979.0, 1997.0, 2012.0]"
The Bat,3,"[1926.0, 1959.0, 1979.0]"
The Bear,3,"[1984.0, 1988.0, 2011.0]"
The Beast,3,"[1975.0, 1996.0, 2010.0]"
The Best Man,3,"[1964.0, 1997.0, 1999.0]"
The Black Cat,3,"[1934.0, 1941.0, 1981.0]"
Brother,3,"[1997.0, 2000.0, 2010.0]"
Butterfly,3,"[1982.0, 1999.0, 2015.0]"
The Bachelor,3,"[1955.0, 1999.0, 2016.0]"
The Bandit,3,"[1946.0, 1996.0, 2016.0]"
The 39 Steps,3,"[1935.0, 1959.0, 2008.0]"
Tango,3,"[1981.0, 1993.0, 1998.0]"
Target,3,"[1985.0, 1995.0, 2011.0]"
Survivor,3,"[1999.0, 2014.0, 2015.0]"
Suspect,3,"[1960.0, 1987.0, 2005.0]"
Sweeney Todd: The Demon Barber of Fleet Street,3,"[1936.0, 1982.0, 2007.0]"
By the Sea,3,"[1915.0, 1982.0, 2015.0]"
Camille,3,"[1921.0, 1936.0, 2008.0]"
Captain America,3,"[1944.0, 1979.0, 1990.0]"
The Hunter,3,"[1980.0, 2010.0, 2011.0]"
The Haunted House,3,"[1921.0, 1929.0, 1982.0]"
The Killers,3,"[1946.0, 1956.0, 1964.0]"
The King,3,"[2002.0, 2005.0, 2017.0]"
The Lady Vanishes,3,"[1938.0, 1979.0, 2013.0]"
The Land,3,"[1942.0, 1969.0, 2016.0]"
Bastards,3,"[2006.0, 2013.0, 2014.0]"
Beautiful,3,"[2000.0, 2008.0, 2009.0]"
The Invisible Woman,3,"[1940.0, 2009.0, 2013.0]"
Stray Dog,3,"[1949.0, 2007.0, 2014.0]"
Christine,3,"[1958.0, 1983.0, 2016.0]"
Shadow,3,"[1956.0, 1971.0, 2010.0]"
Shakedown,3,"[1950.0, 1988.0, 2002.0]"
Scarecrow,3,"[1973.0, 1984.0, 2013.0]"
Still Life,3,"[1997.0, 2007.0, 2013.0]"
Spellbound,3,"[1945.0, 2002.0, 2011.0]"
Spin,3,"[2003.0, 2005.0, 2007.0]"
Stage Struck,3,"[1925.0, 1936.0, 1958.0]"
Stalingrad,3,"[1989.0, 1993.0, 2013.0]"
Solo,3,"[1980.0, 1996.0, 2013.0]"
Slow Burn,3,"[2000.0, 2005.0]"
Snow White,3,"[1916.0, 1987.0, 2005.0]"
Silence,3,"[1971.0, 2011.0, 2016.0]"
Switch,3,"[1991.0, 2007.0, 2011.0]"
Summer School,3,"[1978.0, 1987.0, 2006.0]"
Summertime,3,"[1955.0, 2014.0, 2015.0]"
Ballerina,3,"[1937.0, 2006.0, 2016.0]"
Barabbas,3,"[1953.0, 1961.0, 2013.0]"
Classmates,3,"[2015.0, 2016.0]"
Cloud 9,3,"[2006.0, 2008.0, 2014.0]"
Romance,3,"[1930.0, 2008.0, 2012.0]"
Run,3,"[1991.0, 2004.0, 2013.0]"
Runaway,3,"[1984.0, 2005.0, 2009.0]"
Running Scared,3,"[1980.0, 1986.0, 2006.0]"
Silk,3,"[1986.0, 2006.0, 2007.0]"
She,3,"[1935.0, 1965.0, 1984.0]"
Shelter,3,"[2007.0, 2010.0, 2014.0]"
Shock Treatment,3,"[1964.0, 1973.0, 1981.0]"
Shutter,3,"[2004.0, 2008.0, 2013.0]"
Chain of Command,3,"[1994.0, 2000.0, 2015.0]"
Champion,3,"[1949.0, 2002.0, 2005.0]"
Chocolat,3,"[1988.0, 2000.0, 2016.0]"
Scrooge,3,"[1935.0, 1951.0, 1970.0]"
Second Skin,3,"[1999.0, 2000.0, 2009.0]"
Sacrifice,3,"[2010.0, 2011.0, 2016.0]"
Samson and Delilah,3,"[1949.0, 1996.0, 2009.0]"
Santa Claus,3,"[1898.0, 1959.0, 2014.0]"
Savages,3,"[1972.0, 2006.0, 2012.0]"
The Italian,3,"[1915.0, 2005.0, 2010.0]"
The Jungle Book,3,"[1967.0, 1994.0, 2016.0]"
The Keeper,3,"[1995.0, 2004.0, 2009.0]"
The Key,3,"[1934.0, 1958.0, 1983.0]"
The Importance of Being Earnest,3,"[1952.0, 1986.0, 2002.0]"
The Machine,3,"[1994.0, 2006.0, 2013.0]"
The Man,3,"[1972.0, 2005.0, 2017.0]"
The Man in the Iron Mask,3,"[1939.0, 1977.0, 1998.0]"
Bad Company,3,"[1972.0, 1995.0, 2002.0]"
Bad Karma,3,"[1991.0, 2002.0, 2012.0]"
Project X,3,"[1968.0, 1987.0, 2012.0]"
Poison,3,"[1951.0, 1991.0, 2000.0]"
Police,3,"[1916.0, 1985.0, 2007.0]"
Possession,3,"[1981.0, 2002.0, 2009.0]"
Prey,3,"[1977.0, 2011.0, 2016.0]"
