release_year,movie_count,mean_user_rating,mean_unique_users,mean_popularity,mean_vote_average
2004.0,992,3.3081048387096774,11.588709677419354,3.3382442943548387,5.692036290322581
2005.0,1124,3.3316017316017317,8.229437229437229,3.1255007019572956,5.595907473309609
2006.0,1269,3.2345914396887157,6.933852140077821,3.2203796430260048,5.599921197793538
2007.0,1319,3.38695652173913,6.118577075098814,3.160696028809704,5.646398786959819
2008.0,1470,3.2235772357723578,6.280487804878049,3.200046463945578,5.569455782312925
2009.0,1585,3.233952569169961,5.462450592885376,3.218854603154574,5.599621451104101
2010.0,1501,3.215022026431718,5.405286343612334,2.957518512991339,5.7124583610926045
2011.0,1666,3.187260869565218,3.9956521739130433,2.9866760570228092,5.645498199279712
2012.0,1721,3.0575119617224877,4.382775119617225,3.06516083091226,5.643521208599651
2013.0,1887,3.1399547511312216,3.7873303167420813,3.302644414944356,5.756650768415474
2014.0,1973,2.9439545454545453,3.659090909090909,3.883534711099848,5.646071971616828
2015.0,1904,2.9970520231213875,3.121387283236994,3.5441596034663867,5.765598739495799
2016.0,1604,3.0101612903225807,2.0483870967741935,4.1501021340399005,5.823628428927681
2017.0,532,,,10.040459475563908,5.864661654135339
2018.0,5,,,1.5635514,0.0
2020.0,1,,,6.020055,0.0
